"tablets"
"1";505.533031033953
"2";488.086945122012
"3";511.459163050627
"4";501.583953272703
"5";516.54732453811
"6";515.541565151338
"7";504.773551733356
"8";525.286088843494
"9";470.743400403815
"10";515.855811658713
"11";496.740864230521
"12";519.203916623956
"13";496.640711587548
"14";502.343377578784
"15";512.442726379181
"16";493.950191593325
"17";519.158506885185
"18";502.12348393225
"19";516.817710701895
"20";500.101268925278
"21";506.266486449246
"22";503.33078144453
"23";505.78182561968
"24";516.305246241584
"25";512.293120550375
